Point,Depth,USCS_code,PF_code,GMC,Notes
T3-071,90,Pt,1,207.7,Vr/Vs
T3-071,100,Pt,1,,Vr/Vs
T3-071,110,ML,1,,ataxitic
T3-071,120,ML,1,293.5,ataxitic
T3-071,130,ICE,1,,wedge ice?
T3-071,140,ML,1,,ataxitic
T3-071,150,ML,1,292.2,ataxitic
T3-071,160,ML,1,,ataxitic
T3-071,170,ML,1,,ataxitic
T3-071,180,ML,1,221.1,ataxitic
T3-071,190,ML,1,,
T3-071,200,ML,1,,
T3-071,210,ML,1,82.4,
T3-071,220,ML,1,,
T3-071,230,ML,1,,
T3-071,240,SM,1,44.8,
T3-071,250,SM,1,,
T3-071,260,SM,1,,
T3-071,270,SM,1,41.1,
T3-071,280,SM,1,,
T3-071,290,SM,1,,
T3-071,300,SM,1,43.3,
T3-071,310,SM,1,,
T3-071,320,SM,1,,
T3-071,330,SM,1,35.6,
T3-071,340,SM,1,,
T3-071,350,SM,1,,
T3-071,360,SM,1,55.3,
T3-071,370,SM,1,,
T3-071,380,SM,1,,
T3-071,390,SP,1,29,
T3-071,400,SP,1,,
T3-071,410,SP,1,,
T3-071,420,SP,1,33.4,
T3-071,430,SP,1,,
T3-071,440,SP,1,,
T3-071,450,SP,1,28.7,
T3-071,460,SP,1,,
T3-071,470,SP,1,,
T3-071,480,SP,1,22.9,
T3-071,490,SP,1,,
T3-071,500,SP,1,,
T3-071,510,SP,1,26.9,
T3-071,520,SP,1,,
T3-071,530,SP,1,,
T3-071,540,SP,1,29.5,
T3-071,550,SP,1,,
T3-071,560,SP,1,,
T3-074,10,Pt,0,,Thaw depth 67 cm
T3-074,20,ML,0,,
T3-074,30,Pt,0,138.5,
T3-074,40,Pt,0,,
T3-074,50,Pt,0,,
T3-074,60,Pt,0,144.8,
T3-074,70,Pt,0,,
T3-074,80,ML,1,,OL?
T3-074,90,ML,1,256.7,OL?
T3-074,100,ML,1,,OL?
T3-074,110,ML,1,,OL?
T3-074,120,ML,1,223.9,OL?
T3-074,130,ML,1,,OL?
T3-074,140,ML,1,,OL?
T3-074,150,ML,1,226.8,OL?
T3-074,160,ML,1,,OL?
T3-074,170,ML,1,,OL?
T3-074,180,ML,1,121.3,OL?
T3-074,190,ML,1,,OL?
T3-074,200,ML,1,,OL?
T3-074,210,ML,1,111.6,OL?
T3-074,220,ML,1,,OL?
T3-074,230,SM,1,,
T3-074,240,SM,1,58.8,
T3-074,250,SM,1,,
T3-074,260,SM,1,,
T3-074,270,SM,1,38.5,
T3-074,280,SM,1,,
T3-074,290,SM,1,,
T3-074,300,SM,1,42.8,
T3-074,310,SM,1,,
T3-074,320,SM,1,,
T3-074,330,SM,1,36,
T3-074,340,SM,1,,
T3-074,350,SM,1,,
T3-074,360,SM,1,43.7,
T3-074,370,SM,1,,
T3-074,380,SP,1,,
T3-074,390,SP,1,27.6,
T3-074,400,SP,1,,
T3-074,410,SP,1,,
T3-074,420,SP,1,32.2,
T3-074,430,SP,1,,
T3-074,440,SP,1,,
T3-074,450,SP,1,30.3,
T3-074,460,SP,1,,
T3-074,470,SP,1,,
T3-074,480,SP,1,33.3,
T3-074,490,SP,1,,
T3-074,500,SP,1,,
T3-074,510,SP,1,29.2,
T3-074,520,SP,1,,
T3-074,530,SP,1,,
T3-074,540,SP,1,33.4,
T3-074,550,SP,1,,
T3-074,560,SP,1,,
T3-074,570,GW,1,14.6,
T3-077,10,Pt,0,,Thaw depth 63 cm
T3-077,20,Pt,0,,
T3-077,30,ML,0,67.4,
T3-077,40,ML,0,,
T3-077,50,Pt,0,,
T3-077,60,Pt,0,169.4,
T3-077,70,Pt,1,,
T3-077,80,Pt,1,,
T3-077,90,Pt,1,649.7,
T3-077,100,Pt,1,,
T3-077,110,Pt,1,,
T3-077,120,Pt,1,847.4,
T3-077,130,ML,1,,
T3-077,140,ML,1,,
T3-077,150,ML,1,180.4,
T3-077,160,ML,1,,
T3-077,170,ML,1,,
T3-077,180,ML,1,219.1,
T3-077,190,ML,1,,
T3-077,200,ML,1,,
T3-077,210,SM,1,67.3,
T3-077,220,SM,1,,
T3-077,230,ML,1,,
T3-077,240,SM,1,38,
T3-077,250,SM,1,,
T3-077,260,SM,1,,
T3-077,270,SM,1,39.8,
