Point, Distance, Depth, Resistivity
T3_64.8162r, 64.8162, 6.59, 6308.5
T3_64.8162r, 64.8162, 8.11, 5681.6
T3_64.8162r, 64.8162, 9.77, 5765.6
T3_64.8162r, 64.8162, 11.6, 6454.6
T3_67.3162r, 67.3162, 0.854, 2778.5
T3_67.3162r, 67.3162, 1.79, 3480.9
T3_67.3162r, 67.3162, 2.83, 6117.6
T3_67.3162r, 67.3162, 3.97, 8642.3
T3_67.3162r, 67.3162, 5.22, 9032.4
T3_67.3162r, 67.3162, 6.59, 7988.6
T3_67.3162r, 67.3162, 8.11, 6767.8
T3_67.3162r, 67.3162, 9.77, 5896
T3_67.3162r, 67.3162, 11.6, 5374.2
T3_69.8162r, 69.8162, 0.854, 3862.2
T3_69.8162r, 69.8162, 1.79, 3894.4
T3_69.8162r, 69.8162, 2.83, 5459.8
T3_69.8162r, 69.8162, 3.97, 7055.9
T3_69.8162r, 69.8162, 5.22, 7472.2
T3_69.8162r, 69.8162, 6.59, 6963.8
T3_69.8162r, 69.8162, 8.11, 6205.4
T3_69.8162r, 69.8162, 9.77, 5495.3
T3_69.8162r, 69.8162, 11.6, 4859.8
T3_72.3162r, 72.3162, 0.854, 3230.9
T3_72.3162r, 72.3162, 1.79, 3508.7
T3_72.3162r, 72.3162, 2.83, 4618.3
T3_72.3162r, 72.3162, 3.97, 5390.7
T3_72.3162r, 72.3162, 5.22, 5498.1
T3_72.3162r, 72.3162, 6.59, 5373.2
T3_72.3162r, 72.3162, 8.11, 5272.9
T3_72.3162r, 72.3162, 9.77, 5135.1
T3_72.3162r, 72.3162, 11.6, 4783.2
T3_74.8162r, 74.8162, 0.854, 2030.7
T3_74.8162r, 74.8162, 1.79, 5409.9
T3_74.8162r, 74.8162, 2.83, 7977
T3_74.8162r, 74.8162, 3.97, 7783.3
T3_74.8162r, 74.8162, 5.22, 6721.4
T3_74.8162r, 74.8162, 6.59, 6086.4
T3_74.8162r, 74.8162, 8.11, 5941
T3_74.8162r, 74.8162, 9.77, 5959.3
T3_74.8162r, 74.8162, 11.6, 5763.6
T3_77.3162r, 77.3162, 0.854, 2287.8
T3_77.3162r, 77.3162, 1.79, 5661
T3_77.3162r, 77.3162, 2.83, 9784.7
T3_77.3162r, 77.3162, 3.97, 10864.4
T3_77.3162r, 77.3162, 5.22, 9871.8
T3_77.3162r, 77.3162, 6.59, 8806.9
T3_77.3162r, 77.3162, 8.11, 8262.7
T3_77.3162r, 77.3162, 9.77, 8031.1
T3_77.3162r, 77.3162, 11.6, 7731.4
T3_79.8162r, 79.8162, 0.854, 3806.4
T3_79.8162r, 79.8162, 1.79, 5734.4
T3_79.8162r, 79.8162, 2.83, 9137.5
T3_79.8162r, 79.8162, 3.97, 10884.6
T3_79.8162r, 79.8162, 5.22, 10725.4
T3_79.8162r, 79.8162, 6.59, 10151.5
T3_79.8162r, 79.8162, 8.11, 9813.8
T3_79.8162r, 79.8162, 9.77, 9637
T3_79.8162r, 79.8162, 11.6, 9321.6
T3_82.3162r, 82.3162, 0.854, 3835.7
T3_82.3162r, 82.3162, 1.79, 5602.3
T3_82.3162r, 82.3162, 2.83, 7670
T3_82.3162r, 82.3162, 3.97, 8526.4
T3_82.3162r, 82.3162, 5.22, 8607.3
T3_82.3162r, 82.3162, 6.59, 8787.6
T3_82.3162r, 82.3162, 8.11, 9237.9
T3_82.3162r, 82.3162, 9.77, 9728
T3_82.3162r, 82.3162, 11.6, 10046.7
T3_84.8162r, 84.8162, 0.854, 2803.6
T3_84.8162r, 84.8162, 1.79, 6011.3
T3_84.8162r, 84.8162, 2.83, 8570.4
T3_84.8162r, 84.8162, 3.97, 8405.1
T3_84.8162r, 84.8162, 5.22, 7680.1
T3_84.8162r, 84.8162, 6.59, 7654
T3_84.8162r, 84.8162, 8.11, 8207.4
T3_84.8162r, 84.8162, 9.77, 8888.9
T3_84.8162r, 84.8162, 11.6, 9412.4
T3_87.3162r, 87.3162, 0.854, 2356.5
T3_87.3162r, 87.3162, 1.79, 6294.9
T3_87.3162r, 87.3162, 2.83, 9427.8
T3_87.3162r, 87.3162, 3.97, 9327.4
T3_87.3162r, 87.3162, 5.22, 8272.2
T3_87.3162r, 87.3162, 6.59, 7698.6
T3_87.3162r, 87.3162, 8.11, 7608.2
T3_87.3162r, 87.3162, 9.77, 7614.7
T3_87.3162r, 87.3162, 11.6, 7463.1
T3_89.8162r, 89.8162, 0.854, 2466.3
T3_89.8162r, 89.8162, 1.79, 6039.5
T3_89.8162r, 89.8162, 2.83, 9928.6
T3_89.8162r, 89.8162, 3.97, 10395.1
T3_89.8162r, 89.8162, 5.22, 8926
T3_89.8162r, 89.8162, 6.59, 7448
T3_89.8162r, 89.8162, 8.11, 6443.9
T3_89.8162r, 89.8162, 9.77, 5689.8
T3_89.8162r, 89.8162, 11.6, 4907.8
T3_92.3162r, 92.3162, 0.854, 3112.7
